gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000088298,168.0189796,0.510731833,0.175422862,2.911432569,0.003597756,0.080454942,2.187691391,EDEM2,55741,0.208744334,Up*
ENSG00000092377,8.389361055,-3.746451106,0.650026185,-5.763538754,8.23683E-09,3.72602E-06,0.63291661,TBL1Y,90665,-3.462991322,Down*
ENSG00000093010,137.5173418,-2.111345206,0.380178966,-5.553556075,2.79916E-08,3.92689E-06,2.017914586,COMT,1312,-2.02481579,Down*
ENSG00000099139,278.3394755,-1.305596354,0.315305488,-4.14073463,3.46195E-05,0.004338811,0.890250356,PCSK5,5125,-1.010699978,Down*
ENSG00000099715,78.99909367,-2.068823441,0.585245596,-3.53496627,0.000407827,0.01691692,2.017914586,PCDH11Y,83259,-1.026609872,Down*
ENSG00000099725,225.9982354,-3.799541901,0.519192544,-7.318175008,2.51366E-13,7.81281E-11,2.078494794,PRKY,5616,-3.613013785,Down*
ENSG00000099984,1.554594028,21.71586004,4.532538983,4.791102762,1.65867E-06,0.001836034,0.119168298,GSTT2,2953,19.41346937,Up*
ENSG00000100033,27.61579209,-2.134963726,0.501866675,-4.254045608,2.09943E-05,0.001364,2.154407114,PRODH,5625,-1.820038874,Down*
ENSG00000100060,106.3349527,-1.1274443,0.344618384,-3.271573284,0.001069509,0.034435145,2.154407114,MFNG,4242,-0.452340456,Down*
ENSG00000101417,111.9214999,-1.356183823,0.267380985,-5.072102718,3.93444E-07,4.25824E-05,2.078494794,PXMP4,11264,-1.216872499,Down*
ENSG00000101843,1354.465119,0.439654118,0.097160337,4.525036985,6.03849E-06,0.002139301,0.359174829,PSMD10,5716,0.394493602,Up*
ENSG00000101883,9.914173757,4.357882807,0.70891118,6.147290278,7.88178E-10,3.31818E-07,0.803157611,RHOXF1,158800,3.991653431,Up*
ENSG00000102054,2467.825512,0.32801888,0.091271177,3.593893383,0.000325773,0.036340374,0.602294702,RBBP7,5931,0.240955631,Up*
ENSG00000102287,145.1945488,1.269948812,0.27539602,4.611354997,4.00053E-06,0.00033146,2.187691391,GABRE,2564,1.083069775,Up*
ENSG00000102316,4672.254183,0.320879458,0.080393808,3.991345426,6.56995E-05,0.009270332,0.678930682,MAGED2,10916,0.263456675,Up*
ENSG00000105251,257.1975494,-0.699969646,0.235986042,-2.966148508,0.003015548,0.071678315,2.154407114,SHD,56961,-0.258853864,Down*
ENSG00000105404,373.4125939,0.395230567,0.125921042,3.138717418,0.00169689,0.088278917,0.890250356,RABAC1,10567,0.218353732,Up*
ENSG00000105808,2666.130133,-0.678975543,0.162841988,-4.169536085,3.0522E-05,0.00538729,0.602294702,RASA4,10156,-0.568006114,Down*
ENSG00000105877,107.4852112,-0.996479342,0.294572197,-3.382801739,0.000717504,0.02611834,2.078494794,DNAH11,8701,-0.488702077,Down*
ENSG00000106153,353.2301258,4.420946868,0.462420578,9.560445799,1.17251E-21,2.04556E-18,0.902601561,CHCHD2,51142,4.257664703,Up*
ENSG00000106484,13056.98636,0.467413662,0.124360905,3.758525742,0.000170917,0.01507261,0.971773344,MEST,4232,0.364536263,Up*
ENSG00000107537,238.4604703,0.405526439,0.131589072,3.081763797,0.002057781,0.08559595,1.132156386,PHYH,5264,0.212195401,Up*
ENSG00000107736,614.0138513,-1.071420197,0.322617807,-3.321020022,0.000896891,0.050943155,1.063691227,CDH23,64072,-0.470757561,Down*
ENSG00000108379,138.0500287,-0.796205611,0.218535159,-3.643375352,0.000269086,0.011199063,2.187691391,WNT3,7473,-0.533965941,Down*
ENSG00000108439,171.8358467,-0.495239174,0.148621692,-3.332213262,0.000861582,0.029290365,2.154407114,PNPO,55163,-0.306695898,Down*
ENSG00000110628,66.35295675,0.834746022,0.260902205,3.199459435,0.001376856,0.041829332,2.078494794,SLC22A18,5002,0.368958864,Up*
ENSG00000111275,1031.074479,0.3640787,0.083814586,4.343858481,1.40002E-05,0.00195502,0.920535377,ALDH2,217,0.31793385,Up*
ENSG00000111788,116.7631346,-0.959416251,0.257170637,-3.730660161,0.000190979,0.008774268,2.154407114,,,-0.638180526,Down*
