Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
ADRA1B,147,0.70,2.94E-04,1.94,1.09E-03
PCDHGA12,56097,0.70,5.85E-04,1.75,2.21E-03
RAB15,376267,0.70,1.65E-03,1.37,1.96E-03
TMEM59L,25789,0.70,6.71E-04,1.74,2.94E-03
SNCA,6622,0.70,3.30E-04,1.75,4.31E-04
CRIP2,1397,0.70,8.45E-04,1.55,1.76E-03
NELL1,4745,0.70,6.68E-04,2.08,1.03E-03
SLC35F3,148641,0.70,1.45E-04,1.54,1.02E-03
CDC6,990,0.70,8.03E-04,1.57,9.12E-04
FILIP1,27145,0.70,1.09E-03,2.15,2.33E-03
KCNJ3,3760,0.70,7.20E-04,1.78,2.34E-03
CHSY3,337876,0.70,8.82E-04,2.22,1.66E-03
GEFT,115557,0.70,1.88E-03,2.50,2.85E-03
PLXNA2,5362,0.70,5.36E-04,1.66,1.12E-03
PITPNM3,83394,0.70,1.28E-03,1.44,1.52E-03
LOC375295,375295,0.70,4.80E-04,1.95,1.76E-03
KCTD16,57528,0.70,8.27E-04,3.42,2.90E-03
GABRA2,2555,0.71,7.55E-04,2.03,1.87E-03
ST3GAL1,6482,0.71,6.65E-04,1.56,2.77E-03
GYPE,2996,0.71,1.54E-03,2.17,2.69E-03
PDZD4,57595,0.71,2.82E-04,1.79,2.67E-03
PPEF1,5475,0.71,5.79E-04,2.42,1.07E-03
GNG3,2785,0.71,8.02E-04,1.59,2.70E-03
IGHMBP2,3508,0.71,3.01E-03,1.51,2.77E-03
HPCA,3208,0.71,1.28E-04,2.44,5.45E-04
XRCC6BP1,91419,0.71,2.53E-04,1.44,2.17E-03
CNKSR2,22866,0.71,5.62E-04,1.75,3.03E-03
SLC17A7,57030,0.71,3.56E-04,3.89,9.00E-04
MPP7,143098,0.71,6.71E-04,1.58,1.46E-03
RPRM,56475,0.71,6.22E-04,2.89,1.75E-04
ADAMTS3,9508,0.71,9.13E-04,2.24,1.68E-03
KIF5A,3798,0.71,4.59E-04,1.47,2.76E-03
C4orf45,152940,0.72,1.98E-04,1.90,6.13E-04
C15orf27,123591,0.72,2.30E-03,2.45,2.65E-03
NEK2,4751,0.72,1.33E-03,2.65,2.70E-03
NPTXR,23467,0.72,2.04E-04,2.50,1.71E-04
KIAA1239,57495,0.72,5.79E-04,3.02,2.12E-03
HABP2,3026,0.72,6.72E-04,2.17,1.55E-03
COL5A2,1290,0.72,1.09E-04,2.12,3.30E-04
UBE2QL1,134111,0.72,1.18E-03,1.98,1.83E-03
BCL11A,53335,0.72,4.61E-04,2.09,6.13E-04
PRKCG,5582,0.72,1.28E-03,2.37,1.86E-03
HBQ1,3049,0.72,6.05E-04,1.58,5.79E-04
NUPL2,11097,0.72,2.30E-03,1.52,2.99E-03
C11orf80,79703,0.72,8.82E-04,1.46,2.77E-03
IL12RB2,3595,0.72,1.04E-03,2.42,1.59E-03
SLIT1,6585,0.72,2.49E-04,3.08,5.62E-04
BRMS1L,84312,0.72,5.09E-04,1.48,1.76E-03
KCNC3,3748,0.72,1.45E-04,1.84,9.20E-04
FREM3,166752,0.72,3.41E-04,3.35,5.48E-04
SLC26A10,65012,0.72,2.05E-04,1.83,7.13E-04
ARHGEF9,23229,0.72,6.21E-04,1.36,1.60E-04
NT5DC3,51559,0.72,6.46E-04,2.08,8.53E-04
MYO5B,4645,0.72,9.33E-04,2.13,1.62E-03
NELL2,4753,0.72,1.34E-04,2.00,1.21E-03
GPR22,2845,0.73,2.71E-04,1.70,1.42E-03
LRFN4,78999,0.73,5.57E-04,1.51,9.46E-04
SLC22A10,387775,0.73,4.41E-04,2.07,8.68E-04
ST6GALNAC5,81849,0.73,1.34E-04,2.76,6.73E-04
MUM1L1,139221,0.73,1.97E-04,2.49,1.87E-03
STAMBPL1,57559,0.73,9.23E-05,1.40,8.34E-04
HOPX,84525,0.73,3.45E-04,1.50,1.40E-03
WDR16,146845,0.73,3.68E-04,1.99,3.89E-04
PNCK,139728,0.73,9.23E-05,2.30,4.60E-04
RBM24,221662,0.73,7.46E-04,2.10,7.49E-04
KIAA1853,84530,0.73,6.04E-04,1.51,1.51E-03
TOX,9760,0.73,3.35E-04,2.15,3.88E-04
GGN,199720,0.73,2.68E-04,1.34,4.68E-04
LAMB1,3912,0.73,3.35E-04,2.13,2.13E-04
KRT5,3852,0.73,8.71E-04,2.03,1.43E-03
OLFM4,10562,0.73,1.12E-03,1.98,2.04E-03
AC068353.1,157285,0.73,7.23E-04,1.58,2.86E-04
DAPK1,1612,0.73,2.59E-04,2.05,4.68E-04
GAST,2520,0.73,1.90E-04,2.41,1.18E-03
RTN1,6252,0.73,1.88E-03,1.44,1.39E-03
ZNF497,162968,0.73,3.67E-04,1.81,7.49E-04
PRKCE,5581,0.73,2.86E-04,1.81,2.37E-03
TAC3,6866,0.73,7.20E-04,3.61,1.60E-03
SGSM3,27352,0.73,5.93E-04,1.36,2.00E-03
FBXO34,55030,0.73,1.43E-03,1.34,2.28E-03
MCHR1,2847,0.73,3.86E-04,2.25,1.01E-03
MFSD4,148808,0.73,1.31E-04,1.62,7.43E-04
CAMK4,814,0.73,2.34E-04,2.01,5.58E-04
FAM19A2,338811,0.73,1.38E-04,1.83,1.89E-03
RNF112,7732,0.73,3.20E-04,1.64,3.86E-04
SH2D5,400745,0.73,8.67E-04,1.42,1.54E-03
DLGAP3,58512,0.73,5.50E-04,1.95,1.11E-03
RGS20,8601,0.74,1.03E-03,2.32,1.31E-03
LRTM2,654429,0.74,2.82E-04,2.06,2.28E-03
PCDH8,5100,0.74,1.09E-04,4.08,4.48E-04
PSD3,23362,0.74,5.14E-04,1.60,1.87E-03
CRLF1,9244,0.74,1.10E-04,2.58,1.03E-03
SSBP4,170463,0.74,3.21E-04,1.42,1.03E-03
HCRP1,387535,0.74,6.24E-04,1.73,1.76E-03
SBNO2,22904,0.74,1.35E-03,1.83,2.12E-03
DUSP5P,574029,0.74,8.35E-04,2.32,1.62E-03
ABTB1,80325,0.74,3.58E-03,1.84,1.85E-03
FAM160A2,84067,0.74,9.61E-04,1.46,1.94E-03
NPY5R,4889,0.74,1.56E-04,2.06,3.53E-04
DCLK1,9201,0.74,3.39E-04,1.56,3.96E-04
ANKRD43,134548,0.74,7.57E-04,2.49,6.45E-04
WNT7A,7476,0.74,6.04E-04,1.76,1.20E-03
LOC283174,283174,0.74,6.57E-04,1.42,1.71E-03
C13orf36,400120,0.74,3.21E-04,3.03,1.76E-03
GRIA3,2892,0.74,2.41E-04,1.62,8.26E-04
MGAT5B,146664,0.74,4.43E-04,1.94,1.14E-03
LOC644242,644242,0.74,3.62E-04,2.19,4.45E-04
CACNB3,784,0.75,2.39E-04,1.69,1.52E-03
RAB26,25837,0.75,2.35E-03,1.91,8.92E-04
PGBD5,79605,0.75,6.46E-04,1.52,6.79E-04
PRSS16,10279,0.75,5.58E-04,2.40,1.41E-03
LOC158696,158696,0.75,3.07E-04,2.56,1.03E-03
CHST1,8534,0.75,2.10E-03,1.97,9.46E-04
KCNIP2,30819,0.75,2.36E-04,2.31,5.67E-04
CYP46A1,10858,0.75,1.49E-03,1.85,1.78E-03
C10orf140,387640,0.75,3.42E-04,1.60,1.44E-03
PTTG2,10744,0.75,2.69E-04,1.88,8.52E-04
PRRT1,80863,0.75,9.25E-04,1.50,2.00E-03
SIPA1L1,26037,0.75,1.38E-03,1.62,2.61E-04
GPR162,27239,0.75,2.45E-03,1.50,2.51E-03
NPM3,10360,0.75,1.61E-03,1.58,1.30E-03
LRRC7,57554,0.75,9.64E-04,2.29,2.62E-03
STK32C,282974,0.75,8.30E-04,1.55,1.85E-03
C1QL1,389941,0.75,6.21E-04,3.93,1.01E-03
SH2D1B,117157,0.75,3.61E-04,2.49,7.63E-04
HTR1F,3355,0.75,4.92E-04,2.14,1.01E-03
APBA2,321,0.75,8.36E-04,1.56,6.04E-04
EGR4,1961,0.75,6.32E-04,2.90,7.10E-04
CAMTA2,23125,0.75,1.29E-04,1.74,3.89E-04
CADPS2,93664,0.75,1.97E-04,2.77,3.30E-04
PAK1,5058,0.75,2.36E-04,1.63,2.91E-03
KCNN1,3780,0.75,3.30E-04,2.25,9.95E-04
LOC100126784,100126784,0.75,6.38E-04,1.85,1.13E-03
GRIN2B,2904,0.75,5.58E-04,2.31,2.17E-03
RASAL1,8437,0.75,4.50E-04,2.50,1.41E-03
AK5,26289,0.75,3.57E-04,1.96,1.04E-03
SCN2A,6326,0.75,3.39E-04,1.56,2.00E-03
GABRA5,2558,0.75,1.82E-04,3.32,5.79E-04
CTNNAL1,8727,0.76,3.64E-04,1.73,1.17E-03
CHML,1122,0.76,9.00E-05,1.72,1.03E-03
SLC35F1,222553,0.76,1.15E-03,1.81,9.57E-04
C12orf44,60673,0.76,2.22E-03,2.01,2.61E-03
GALNT11,63917,0.76,3.00E-03,1.57,1.34E-03
HSD11B1L,374875,0.76,8.64E-04,1.58,7.79E-04
IGFBP2,3485,0.76,9.91E-04,2.79,2.26E-03
SMAP2,64744,0.76,1.02E-03,1.43,2.20E-03
AC002563.2,387890,0.76,7.23E-04,3.70,1.93E-03
RAPGEF4,11069,0.76,4.54E-04,1.93,3.02E-03
ERC2,26059,0.76,3.18E-04,1.80,1.57E-03
KCNMB4,27345,0.76,5.99E-04,1.98,1.20E-03
CCNO,10309,0.76,1.45E-04,3.10,2.56E-04
RUNDC3A,10900,0.76,6.18E-04,1.52,6.95E-04
B3GALT2,8707,0.76,1.63E-04,1.70,1.52E-03
YPEL1,29799,0.76,1.07E-03,1.82,3.89E-04
OTX1,5013,0.76,2.19E-03,2.77,2.30E-03
STAT6,6778,0.76,5.79E-04,1.52,8.36E-04
BRPF3,27154,0.76,1.53E-03,1.68,6.04E-04
AP1S1,1174,0.76,2.43E-04,1.99,5.62E-04
LRRTM3,347731,0.76,4.72E-04,1.68,2.08E-03
HOOK1,51361,0.76,5.26E-04,1.68,2.32E-03
ATOH7,220202,0.76,3.26E-04,2.84,4.60E-04
FREQ,23413,0.76,1.51E-04,2.17,8.05E-04
GPR98,84059,0.76,2.94E-03,3.09,2.46E-03
DHRS7C,201140,0.76,9.61E-04,2.29,1.97E-03
ATRNL1,26033,0.76,2.99E-04,2.59,4.99E-04
GPR6,2830,0.76,9.56E-04,3.03,2.64E-03
PRMT8,56341,0.76,1.55E-04,2.36,3.95E-04
CYP26A1,1592,0.77,1.20E-03,3.08,1.61E-03
NEUROD6,63974,0.77,3.67E-04,4.14,1.14E-03
ARG1,383,0.77,1.75E-03,1.90,1.71E-03
NEURL,9148,0.77,5.88E-04,1.52,9.77E-04
MADD,8567,0.77,1.41E-03,1.79,7.42E-04
LOC643750,643750,0.77,4.57E-04,2.06,1.32E-03
LASS6,253782,0.77,3.32E-04,1.36,1.12E-04
BATF3,55509,0.77,6.04E-04,1.95,9.87E-04
DRP2,1821,0.77,1.56E-04,1.81,7.63E-04
WSCD2,9671,0.77,4.47E-04,2.32,1.86E-03
ACTL6B,51412,0.77,5.63E-04,1.87,9.76E-04
PSD,5662,0.77,1.51E-03,2.02,1.50E-03
OR52K2,119774,0.77,1.54E-03,2.07,2.88E-03
MPND,84954,0.77,4.01E-04,1.69,2.13E-03
NPTX2,4885,0.77,1.54E-04,3.28,9.57E-04
DOC2A,8448,0.77,1.09E-04,3.08,6.15E-04
CSMD1,64478,0.77,5.11E-04,1.79,1.51E-03
C6orf115,58527,0.77,1.76E-04,1.79,3.30E-04
AC013356.3,440465,0.77,4.79E-04,1.66,2.34E-03
NICN1,84276,0.77,4.40E-04,1.79,2.59E-03
FBXO41,150726,0.77,8.22E-04,1.49,1.87E-03
FAP,2191,0.77,4.70E-04,2.09,2.12E-03
CGREF1,10669,0.77,1.31E-04,1.47,4.25E-04
BAP1,8314,0.77,3.16E-03,1.99,1.57E-03
XKR4,114786,0.77,4.28E-04,2.09,1.66E-03
OSBPL3,26031,0.77,2.43E-04,2.31,3.30E-04
PLK2,10769,0.77,3.30E-04,2.28,1.73E-04
RIN1,9610,0.77,5.38E-04,2.65,8.07E-04
SLC30A3,7781,0.77,1.28E-04,4.04,9.38E-04
ABHD8,79575,0.77,2.67E-04,1.99,1.23E-03
VSNL1,7447,0.78,1.90E-04,1.98,3.57E-04
C1orf222,85452,0.78,1.40E-03,2.13,5.17E-04
ARNTL2,56938,0.78,5.09E-04,1.52,2.10E-03
LOC100129321,100129321,0.78,4.27E-04,1.81,2.30E-03
RSPO2,340419,0.78,3.66E-04,3.40,5.58E-04
KIFC2,90990,0.78,5.09E-04,2.02,2.40E-03
SLC4A10,57282,0.78,2.95E-04,1.85,1.52E-03
KITLG,4254,0.78,2.34E-04,2.22,7.40E-04
PTPN3,5774,0.78,1.76E-04,3.21,3.89E-04
ATP4A,495,0.78,8.09E-04,2.96,1.98E-03
SEC16B,89866,0.78,1.39E-03,1.96,3.02E-03
EXOC6,54536,0.78,7.90E-04,1.42,6.45E-04
SYT16,83851,0.78,3.62E-04,2.29,1.59E-03
NARF,26502,0.78,2.42E-03,1.54,9.98E-04
FXYD6,53826,0.78,9.18E-05,2.35,4.01E-04
FAM171B,165215,0.78,3.29E-04,1.75,8.07E-04
NCALD,83988,0.78,3.21E-04,2.16,1.58E-03
KCNS2,3788,0.78,3.85E-04,2.81,2.20E-03
EPB49,2039,0.78,8.26E-04,1.92,1.78E-03
DPP10,57628,0.78,1.82E-04,2.13,7.79E-04
TTC9B,148014,0.78,1.55E-04,1.82,1.04E-03
PKNOX2,63876,0.78,3.68E-04,1.79,1.29E-03
IQSEC2,23096,0.78,1.20E-03,2.21,1.07E-03
TSPAN7,7102,0.78,3.62E-03,1.81,2.12E-03
LOC339524,339524,0.78,2.50E-04,2.31,6.57E-04
SYDE2,84144,0.78,1.24E-04,1.84,7.49E-04
LOC100127998,100127998,0.78,6.04E-04,1.92,1.13E-03
CPNE5,57699,0.78,6.68E-04,2.64,8.96E-04
KCNT2,343450,0.78,1.21E-04,2.24,3.89E-04
DGKA,1606,0.78,3.84E-04,2.11,1.60E-03
CBX6,23466,0.78,2.80E-03,1.66,5.78E-04
GCNT4,51301,0.78,6.04E-04,2.13,1.52E-03
PDXP,57026,0.78,1.39E-03,1.77,3.86E-04
KALRN,8997,0.78,1.31E-03,1.83,2.90E-03
NOS2,4843,0.78,1.55E-04,2.42,7.08E-04
RIMS3,9783,0.78,1.09E-04,2.36,3.89E-04
LRRC4,64101,0.78,4.63E-04,1.87,6.84E-04
RTP1,132112,0.78,3.05E-04,3.22,9.20E-04
DRD1,1812,0.78,6.52E-04,2.45,1.76E-03
MAFB,9935,0.78,2.05E-04,2.38,3.89E-04
CDH22,64405,0.78,1.76E-04,3.01,9.42E-04
AGBL4,84871,0.78,3.68E-04,1.36,1.85E-03
C6orf154,221424,0.78,3.68E-04,1.84,7.44E-04
FAM5B,57795,0.78,2.88E-04,2.12,4.99E-04
GRIN2A,2903,0.78,3.49E-04,2.49,2.30E-03
CTDSPL,10217,0.78,1.18E-03,1.91,2.04E-03
SLN,6588,0.79,2.71E-04,4.45,6.04E-04
FAM84A,151354,0.79,1.20E-03,2.46,2.06E-03
IPCEF1,26034,0.79,4.75E-04,2.46,2.04E-03
LOC440084,440084,0.79,3.02E-04,2.19,6.14E-04
ASB2,51676,0.79,9.69E-05,3.10,2.02E-04
SLC4A7,9497,0.79,2.04E-04,1.73,2.91E-03
NETO1,81832,0.79,2.35E-04,2.77,9.08E-04
AC005551.1,284422,0.79,7.81E-04,2.75,2.48E-03
RTKN2,219790,0.79,2.07E-04,2.37,4.68E-04
SEC24D,9871,0.79,5.58E-04,2.06,7.11E-04
NOL4,8715,0.79,1.34E-04,1.96,5.51E-04
AP000751.3,9743,0.79,6.56E-04,1.44,1.83E-03
ANKRD34A,284615,0.79,5.39E-04,1.73,1.43E-03
SLC8A2,6543,0.79,9.61E-04,2.84,1.72E-03
BASP1,10409,0.79,3.57E-04,1.48,1.63E-03
DAGLB,221955,0.79,1.76E-03,1.77,2.35E-03
CCDC3,83643,0.79,2.32E-04,1.92,9.08E-04
NDFIP2,54602,0.79,2.69E-04,1.53,1.06E-03
RASGRF2,5924,0.79,2.24E-04,1.69,1.89E-03
ZNF831,128611,0.79,1.97E-04,3.94,2.54E-04
AC004863.6,154822,0.79,1.24E-04,1.94,2.54E-04
GALNT9,50614,0.79,2.72E-04,1.96,1.23E-03
LOC440995,440995,0.79,4.74E-04,1.64,5.98E-04
CAMKK1,84254,0.79,5.55E-04,2.08,2.89E-03
OXCT1,5019,0.79,3.18E-04,1.86,2.23E-03
CA7,766,0.79,5.29E-04,2.40,8.52E-04
LINGO1,84894,0.79,5.58E-04,2.36,1.85E-03
FRMPD2,143162,0.79,8.46E-04,3.09,2.63E-03
EMID1,129080,0.79,9.80E-04,2.07,1.81E-03
RTN4R,65078,0.79,2.22E-04,2.32,3.86E-04
FUT9,10690,0.79,3.77E-04,2.11,5.58E-04
FLRT3,23767,0.79,1.09E-04,2.56,4.99E-04
KCNMA1,3778,0.79,4.63E-04,2.37,1.97E-04
GABRA1,2554,0.79,2.27E-04,3.21,7.63E-04
FRMPD4,9758,0.79,2.72E-04,1.90,8.25E-04
SIRPA,140885,0.79,8.60E-04,1.38,5.62E-04
CORO1A,11151,0.79,7.76E-04,2.06,1.53E-03
GABRA4,2557,0.79,4.31E-04,3.20,3.86E-04
ASPHD2,57168,0.79,8.62E-05,2.28,1.44E-03
DBC1,1620,0.79,2.05E-04,1.72,4.68E-04
MATK,4145,0.80,2.43E-04,2.36,7.94E-04
GAS7,8522,0.80,4.45E-04,2.19,1.35E-03
ID2,3398,0.80,2.14E-04,1.68,1.50E-03
ANKRD56,345079,0.80,1.09E-04,3.06,8.90E-04
CAMKV,79012,0.80,8.62E-05,3.90,1.45E-04
CAMK1D,57118,0.80,1.24E-04,2.06,4.68E-04
SLITRK5,26050,0.80,1.34E-04,2.10,1.51E-03
FBXW7,55294,0.80,6.59E-04,1.77,2.84E-03
PAH,5053,0.80,1.26E-03,2.49,2.61E-03
AACS,65985,0.80,4.11E-04,1.70,7.24E-04
LZTS1,11178,0.80,5.79E-04,2.85,5.17E-04
PRKCB,5579,0.80,1.84E-04,1.94,1.97E-03
PTTG3,26255,0.80,2.86E-04,2.20,2.56E-04
UPP2,151531,0.80,6.21E-04,2.20,2.76E-03
DNAJC5G,285126,0.80,3.43E-04,2.47,1.08E-03
ADCY1,107,0.80,1.29E-04,2.15,1.72E-03
GGCT,79017,0.80,1.58E-04,1.34,7.79E-04
CDH10,1008,0.80,3.14E-04,1.63,6.57E-04
TNNI3K,51086,0.80,4.31E-04,2.16,8.20E-04
ANKRD24,170961,0.80,1.54E-04,2.14,3.48E-04
FZD3,7976,0.80,3.43E-04,1.55,7.79E-04
LINC00473,90632,0.80,2.95E-04,2.81,1.99E-03
BAI3,577,0.80,2.07E-04,1.90,2.77E-03
CSGALNACT1,55790,0.80,2.89E-04,2.03,1.37E-03
EPHA4,2043,0.80,1.54E-04,2.52,5.39E-04
KLHDC3,116138,0.80,4.61E-04,1.52,1.18E-03
ASGR2,433,0.80,1.53E-03,2.68,1.92E-03
NTN4,59277,0.80,2.46E-04,2.04,9.46E-04
POU6F2,11281,0.80,1.19E-04,2.40,1.97E-04
PTTG1,9232,0.80,1.76E-04,2.36,4.60E-04
PPL,5493,0.80,1.51E-04,2.63,1.01E-03
RS1,6247,0.80,8.12E-04,2.42,2.26E-03
RP11-544M22.1,100131187,0.80,1.05E-03,2.75,2.61E-03
KCNB1,3745,0.80,3.67E-04,2.07,9.99E-04
SVOP,55530,0.80,3.68E-04,2.13,1.14E-03
RGS7,6000,0.80,1.47E-04,1.64,4.60E-04
PHACTR1,221692,0.80,4.26E-04,2.13,1.85E-03
KLF10,7071,0.81,1.55E-04,2.30,6.04E-04
NAGPA,51172,0.81,2.43E-04,2.40,3.30E-04
LRRTM4,80059,0.81,1.53E-04,2.23,1.12E-04
TNFAIP8L1,126282,0.81,1.09E-04,2.45,4.01E-04
B3GNT4,79369,0.81,9.18E-05,2.64,5.48E-04
SPRN,503542,0.81,6.18E-04,2.56,2.36E-03
LRFN2,57497,0.81,3.54E-04,2.06,6.84E-04
RFTN1,23180,0.81,7.34E-04,2.42,2.63E-03
HSPB3,8988,0.81,1.09E-04,4.92,1.60E-04
C18orf45,85019,0.81,1.25E-04,1.81,1.12E-03
MAPK13,5603,0.81,1.77E-04,2.57,6.84E-04
PITPNM2,57605,0.81,7.29E-04,2.44,1.13E-03
MYT1L,23040,0.81,5.58E-04,2.39,1.13E-03
BAIAP2,10458,0.81,2.39E-04,2.64,1.31E-04
AP4S1,11154,0.81,1.55E-04,1.71,1.26E-04
BID,637,0.81,3.39E-04,1.94,1.21E-03
BZW2,28969,0.81,3.64E-04,1.47,3.86E-04
ABI2,10152,0.81,5.79E-04,1.48,7.49E-04
CDH9,1007,0.81,1.55E-04,2.84,9.07E-04
ZNF184,7738,0.81,4.56E-04,2.34,2.94E-03
TAGLN3,29114,0.81,1.28E-03,2.63,1.82E-03
RARB,5915,0.81,5.35E-04,2.42,2.09E-03
FAM131A,131408,0.81,7.15E-04,2.05,4.48E-04
ZBTB16,7704,0.81,3.21E-04,2.39,2.32E-03
GRHL2,79977,0.81,5.14E-04,2.63,2.50E-03
DLGAP1,9229,0.81,4.28E-04,2.29,1.97E-03
MAST3,23031,0.81,3.24E-03,1.82,2.70E-03
SPARCL1,8404,0.81,4.09E-04,1.99,1.80E-03
AC105206.1,9796,0.81,1.09E-04,2.20,1.02E-03
RND1,27289,0.81,1.19E-04,2.12,3.05E-04
ACTN1,87,0.81,5.23E-04,1.81,6.84E-04
UNC13A,23025,0.81,3.05E-04,2.89,5.48E-04
DGCR5,26220,0.81,1.66E-03,1.90,8.53E-04
C6orf126,389383,0.81,3.18E-04,2.99,9.99E-04
WBSCR17,64409,0.81,1.76E-04,2.48,5.62E-04
AC010087.3,129293,0.81,2.82E-04,3.00,1.66E-03
LAMB3,3914,0.81,7.37E-04,2.24,1.79E-03
AC091878.1,285696,0.81,2.59E-04,2.31,2.62E-03
CHRM3,1131,0.82,3.67E-04,3.15,1.17E-03
C1orf183,55924,0.82,2.17E-04,2.74,1.04E-03
KHDRBS3,10656,0.82,5.58E-04,2.03,1.62E-03
PRPS2,5634,0.82,7.68E-04,2.42,2.98E-03
AC021534.2,146713,0.82,1.84E-04,3.55,3.86E-04
GRASP,160622,0.82,5.29E-04,2.23,2.12E-03
PAK6,56924,0.82,2.30E-04,2.36,5.79E-04
CTNNA2,1496,0.82,2.55E-04,2.05,1.95E-03
CAMK2A,815,0.82,1.47E-04,4.47,4.34E-04
MEIS3P2,56917,0.82,3.20E-04,2.95,5.48E-04
SHC3,53358,0.82,4.26E-04,2.59,1.58E-04
FAM81A,145773,0.82,1.39E-04,2.08,1.47E-03
LHX2,9355,0.82,1.28E-04,4.80,1.12E-04
LMO7,4008,0.82,3.57E-04,2.97,7.49E-04
LMO3,55885,0.82,1.29E-04,2.50,4.60E-04
PPP3CA,5530,0.82,1.17E-04,1.88,1.31E-04
HOMER1,9456,0.82,3.00E-04,1.96,2.67E-03
CREG2,200407,0.82,1.34E-04,3.51,2.64E-04
LTK,4058,0.82,1.88E-04,3.23,1.75E-03
NPAS2,4862,0.82,3.42E-04,2.14,6.04E-04
EPHX4,253152,0.82,1.29E-04,2.37,3.08E-04
FAM49A,81553,0.82,1.21E-04,1.80,2.26E-03
GPM6A,2823,0.82,2.17E-04,2.26,5.98E-04
HRH1,3269,0.82,5.94E-04,3.14,1.85E-03
C11orf95,65998,0.82,3.50E-04,1.71,1.97E-04
MGLL,11343,0.83,3.58E-04,2.18,1.11E-03
RNF165,494470,0.83,2.82E-04,2.56,6.04E-04
CHRDL1,91851,0.83,4.27E-04,3.36,1.07E-03
CDKL5,6792,0.83,2.55E-04,1.76,8.25E-04
PI4KA,5297,0.83,2.25E-04,1.79,6.66E-04
HS3ST2,9956,0.83,1.17E-04,3.75,2.43E-04
DLGAP2,9228,0.83,1.29E-04,3.32,1.02E-03
GRIA2,2891,0.83,2.33E-04,2.00,1.61E-04
SERPINF1,5176,0.83,8.62E-05,3.38,7.40E-04
ENC1,8507,0.83,1.34E-04,4.13,4.87E-04
HTR2A,3356,0.83,1.74E-04,3.78,9.05E-04
NUDT4P1,11163,0.83,2.27E-04,2.75,1.31E-03
SNTB2,6645,0.83,5.52E-04,1.66,1.13E-03
PDZRN3,23024,0.83,3.67E-04,2.75,1.01E-03
SLC22A9,114571,0.83,6.68E-04,3.41,1.35E-03
ATP2B1,490,0.83,3.21E-04,2.02,2.25E-03
CAMKK2,10645,0.83,3.80E-04,1.97,6.66E-04
STX19,415117,0.83,8.62E-05,2.36,1.27E-04
FBXL16,146330,0.83,3.68E-04,2.36,3.57E-04
SLITRK4,139065,0.83,8.62E-05,2.45,2.10E-04
RHEBL1,121268,0.83,1.75E-04,2.65,2.48E-04
OPN3,23596,0.83,1.09E-04,2.70,6.35E-04
HLF,3131,0.83,1.36E-04,1.98,9.87E-04
MOXD1,26002,0.83,1.09E-04,4.81,1.12E-04
RORB,6096,0.83,9.18E-05,3.31,4.32E-04
VIT,5212,0.83,3.81E-04,2.83,1.42E-03
CASQ1,844,0.83,6.46E-04,3.30,2.04E-03
DDN,23109,0.83,1.39E-03,3.07,2.08E-03
KIF17,57576,0.83,1.43E-04,2.54,6.47E-04
GABRD,2563,0.84,2.37E-04,3.97,1.52E-03
PDE2A,5138,0.84,3.50E-04,2.81,8.18E-04
CAMK1,8536,0.84,1.16E-04,2.06,1.75E-04
RAB40C,57799,0.84,9.25E-04,1.94,8.94E-04
GLDC,2731,0.84,4.73E-04,2.63,1.66E-03
DPF1,8193,0.84,2.00E-04,2.05,3.96E-04
CDKL1,8814,0.84,1.72E-04,2.06,9.27E-04
LYZL4,131375,0.84,5.54E-04,2.54,1.48E-03
EMX1,2016,0.84,3.68E-04,1.91,2.32E-03
MIR7-3HG,284424,0.84,9.18E-05,3.58,5.06E-04
NTRK2,4915,0.84,4.70E-04,1.53,3.86E-04
MKL2,57496,0.84,3.23E-04,2.65,1.12E-04
NR2E1,7101,0.84,4.65E-04,3.93,1.37E-03
C21orf128,150147,0.84,2.17E-04,2.90,2.12E-03
VIP,7432,0.84,2.55E-04,4.33,6.04E-04
AC106818.2,441094,0.84,9.83E-05,2.11,1.12E-04
NPPA,4878,0.84,1.21E-04,4.52,3.89E-04
CCKBR,887,0.84,5.49E-04,3.49,9.95E-04
CAP2,10486,0.84,1.09E-04,2.25,9.41E-04
RASL10A,10633,0.84,4.48E-04,3.48,7.60E-04
KRT16P2,400578,0.84,2.13E-04,3.04,3.24E-04
CCNG2,901,0.84,3.29E-04,2.01,3.89E-04
AKAP5,9495,0.84,1.76E-04,3.50,5.62E-04
TRIM54,57159,0.85,2.41E-04,4.53,4.37E-04
ARX,170302,0.85,2.96E-04,2.78,7.44E-04
ICAM5,7087,0.85,3.32E-04,4.30,6.96E-04
IER5L,389792,0.85,2.41E-04,2.30,1.05E-03
STEAP1,26872,0.85,5.64E-04,2.55,2.50E-03
DIRAS2,54769,0.85,1.62E-04,2.96,4.45E-04
MICAL2,9645,0.85,1.14E-04,3.12,1.40E-04
PTGS2,5743,0.85,4.01E-04,2.77,1.04E-03
KHDRBS2,202559,0.85,2.24E-04,2.81,5.48E-04
RTN4RL1,146760,0.85,8.62E-05,4.12,1.27E-04
BAI2,576,0.85,4.57E-04,2.02,1.57E-03
ARNTL,406,0.85,1.13E-03,2.66,1.15E-03
C1orf115,79762,0.85,2.34E-04,3.34,4.68E-04
AQP9,366,0.85,5.48E-04,3.07,1.80E-03
