Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
BROX,148362,-0.78,5.50E-04,-1.35,9.87E-04
FAM111A,63901,-0.78,4.47E-04,-2.03,3.30E-04
XAF1,54739,-0.78,1.28E-04,-1.89,2.59E-03
ACVR1,90,-0.78,9.85E-04,-1.36,1.58E-03
PHACTR2,9749,-0.78,4.72E-04,-1.80,1.13E-03
KANK4,163782,-0.78,9.18E-05,-4.27,3.86E-04
SCARB2,950,-0.78,4.37E-04,-1.44,1.65E-03
RNF152,220441,-0.78,9.24E-04,-2.14,2.12E-03
GMPR,2766,-0.78,6.04E-04,-2.51,1.85E-03
PARD3B,117583,-0.78,6.56E-04,-2.36,2.94E-03
IPW,3653,-0.78,2.38E-03,-1.48,2.41E-03
ABCG2,9429,-0.78,1.09E-04,-1.63,2.12E-03
C20orf82,140862,-0.78,1.14E-04,-1.82,7.40E-04
SP1,6667,-0.78,4.29E-04,-1.68,2.76E-03
LUZP2,338645,-0.78,1.98E-04,-1.82,1.07E-03
TBXA2R,6915,-0.78,2.17E-04,-1.76,3.89E-04
GINS3,64785,-0.77,1.66E-04,-2.08,8.39E-04
MSN,4478,-0.77,3.18E-04,-1.86,1.57E-03
SCARA3,51435,-0.77,3.30E-04,-1.37,4.44E-04
PHKA1,5255,-0.77,1.30E-03,-1.65,3.03E-03
RAI14,26064,-0.77,9.23E-05,-1.85,4.55E-04
CARD6,84674,-0.77,3.84E-04,-1.62,2.26E-03
PDE11A,50940,-0.77,2.42E-04,-2.12,1.45E-03
SLC6A11,6538,-0.77,1.14E-04,-2.64,5.26E-04
LOC150622,150622,-0.77,1.76E-04,-1.78,1.56E-03
HEYL,26508,-0.77,9.69E-05,-2.19,1.65E-03
FKBP9L,360132,-0.77,2.56E-03,-1.62,2.54E-03
MEIS1,4211,-0.77,2.04E-04,-2.66,1.11E-03
BTN3A1,11119,-0.77,4.83E-04,-1.63,4.68E-04
IFI44,10561,-0.77,2.25E-04,-1.86,2.56E-03
DBX2,440097,-0.77,2.86E-04,-2.10,1.21E-03
FLT1,2321,-0.77,1.55E-04,-1.58,2.27E-03
M6PRBP1,10226,-0.77,8.62E-05,-2.11,1.12E-03
PRTG,283659,-0.76,5.31E-04,-1.91,5.62E-04
